latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,type,species,sumAtRisk,sumCases,sumDeaths
9.126938,7.586331,Africa,Nigeria,Nassarawa,Bakori,Exact,02-23-2015,09-19-2015,Confirmed,Influenza - Avian,Domestic, Chicken,2500,1400,1400
11.580028,7.344632,Africa,Nigeria,Katsina,Bakori,Exact,02-21-2015,09-19-2015,Confirmed,Influenza - Avian,Domestic, Chicken,650,120,120
13.014,5.0719,Africa,Nigeria,Sokoto,"Dange, D/Shuni",Exact,02-14-2015,09-19-2015,Confirmed,Influenza - Avian,Domestic, Chicken,1500,352,352
12.632727,7.509427,Africa,Nigeria,Katsina,Rimi,Exact,02-13-2015,09-19-2015,Confirmed,Influenza - Avian,Domestic, Chicken,3360,105,105
32.93261,35.353884,Asia,Israel,Northern,SHEZOR,Exact,02-12-2015,11-15-2015,Confirmed,Newcastle Disease,Domestic, Chicken,3800,0,0
13.2709,4.8435,Africa,Nigeria,Sokoto,"Gwiwa Low cost, Wamako",Exact,02-11-2015,09-19-2015,Confirmed,Influenza - Avian,Domestic, Chicken,500,225,225
10.307245,9.855008,Africa,Nigeria,Bauchi,Bauchi,Exact,02-06-2015,09-19-2015,Confirmed,Influenza - Avian,Domestic, Chicken,3030,652,652
10.318283,9.278934,Africa,Nigeria,Bauchi,Toro,Centroid Admin2,02-05-2015,09-19-2015,Confirmed,Influenza - Avian,Domestic, Chicken,2700,10,10
13.515594,6.278958,Africa,Nigeria,Sokoto,Sabon Brinin,Exact,01-29-2015,09-19-2015,Confirmed,Influenza - Avian,Domestic, Chicken,1000,49,49
31.889818,34.841674,Asia,Israel,Central District,SITRIYYA,Exact,01-12-2015,01-24-2016,Confirmed,Newcastle Disease,Domestic, Chicken,5000,0,0
5.1791,6.6631,Africa,Nigeria,Rivers,Obio/Akpor,Exact,01-08-2015,11-19-2015,Confirmed,Influenza - Avian,Domestic, Chicken,2100,310,310
